tweet,sentimen
"Lah iya kemarin gue jugaa.  Udah sampe verif nomer terus temen gue dateng , dia rebut hp gue sambil ngatain kasar si penipunya.  Terus langsung lapor @gojekindonesia  Dan langsung ditangani ✌✌👍 mantep dah gojek luv yu",1
Yang ku suka dari logo @gojekindonesia terbaru adalah: abang2nya helmnya pada baru jadi kalo di jalan ada jeglongan (re:polisi tidur) gak nutup sendiri sama kaitnya masih seret2 hahaha 🤣🤣🤣,1
B aja gw tiap hr naik gojek @gojekindonesia happy2 aja.,1
"Betul bangett :"")",1
alhamdulillah ya akur @GrabID @gojekindonesia  pic.twitter.com/ZuUnsJ0bzc,1
@gojekindonesia tolong kasih masnya gratis ongkir seumur hidup,1
Penyelamat kaum deadwood di tanggal tua @TretanMuslim @gojekindonesia  pic.twitter.com/nBA0QL2yKZ,1
MAKASIH BANYAK GOJEK🙏🙏🙏 @gojekindonesia  pic.twitter.com/2nJwTb5SUu,1
"Yuk dukung!  #SeptemberIssue
@hubdat151 @bptj151 @TransWatch @dpp_ado @dpc_oraski @Aliansi_ALIANDO @IndonesiaFkpo @kemenhub151 @BudiKaryaS @cctv_lampumerah @YLKI_ID @kemkominfo @GrabID @gojekindonesia @ILCtv1 @CNNIndonesia @OfficialiNewsTV @karniilyas @DishubDKI_JKT @lambeonlen pic.twitter.com/MPTZ7BoKbZ",1
"Tenang mas, masih ada @gojekindonesia",1
"mayan sis segini cuma 5rb, terima kasi @gojekindonesia  pic.twitter.com/X1WvKPiLsA",1
"An Ojek for every need
@gojekindonesia  https://twitter.com/lukmanabuyahya/status/1167272649942130689 …",1
"Lah ya emang harganya segitu mas🙄, mau murah naik goride aja",1
Ntap gojek,1
"Lebih dari 1 juta driver Gojek siap layani transportasi, pesan antar makanan, kirim belanja dan banyak lagi kebutuhan kita semua! Lebih gampang lagi Top-Upnya gampang via SMS dan I-Banking Bank BJB @infobankbjb @gojekindonesia #tipsPRIMA",1
"Kegabutan yang haqiqi, muter2 naik goride gojek 4 kali utk dapetin cashback 10.000 😵.

Thank you @gojekindonesia  pic.twitter.com/XyXMYKZov7",1
PAHLAWAN DEVISA NEGARA,1
"bwahahha
berarti @gojekindonesia harus secepatnya buat Go-Cukur",1
Gw cuma dpt 100.000 :(( tp alhamdulillah,1
bukan masalah malas tp karna banyak potongan harga,1
Heheh tengcu bapak uwu 💜 @gojekindonesia  pic.twitter.com/Lz0xs9ua9F,1
Mantappp jiwaaa,1
Setuju 😂,1
Sudah min,1
"Pertama kali Install App Gojek langsung dapat voucher untuk gofood dan cuman bayar 10k, beginikah kehidupan Hedonisme itu min @gojekindonesia? 😬  pic.twitter.com/3lBNzLWWDG",1
@gojekindonesia kasih apresiasi min ✊  https://twitter.com/sareeeyyy/status/1167422744192933889 …,1
Udah order Taichannnya belom di @gojekindonesia  pic.twitter.com/nDF3T3kk3o,1
"nah kan, banyak pilihan di mariii haha",1
Pada akhirnya barusan GoFood mas hahahaha 😂,1
mungkin bisa ke platform sebelah a.k.a @gojekindonesia 😛,1
"Ga perlu pusing kalau saldo GO-PAY sekarat karena bisa isi ulang kapan saja di ATM, Internet Banking, Mobile Banking dan loket PPOB OCBC-NISP terdekat @bankocbcnisp @gojekindonesia #tipsPRIMA",1
Waahh kerennn👏,1
"Terimakasih @gojekindonesia, saldo saya yg hilang sdh kembali.",1
Mantap @gojekindonesia jangan lupa untuk tetap @bahagiakanmitragojek,1
@gojekindonesia tolong min dikasih bonus buat masnya  https://twitter.com/ryan_nus/status/1167695829496295430 …,1
"Berkat voucher gofood, makanku tidak nasi telor melulu! Thx @gojekindonesia",1
"Twitter please do your magic🙏
@gojekindonesia @gojektech @InfoDepokNews @askmenfess @tanya2rl",1
"Aplikasi pake @GrabID, yg gendong @gojekindonesia 
GO-GRAB  https://twitter.com/RoyKiyosi45/status/1167341617738469376 …",1
Driver jempolan nih cc: @gojekindonesia  https://twitter.com/ryan_nus/status/1167695829496295430 …,1
Sama sama,1
"Yoiiiii, 20rb cashbacknya",1
Oke min,1
#PastiAdaJalan banget min! Apalagi kalau pake motor GESITS 💪🏼,1
"Hi, we are happy to help solve your question. Hopefully PayLater is useful and becomes an option for payment when placing an order. Thanks^krn",1
eh salah mention @gojekindonesia wkwkwk,1
"Hai kak, kami senang dapat membantu kakak. Semoga PayLater bermanfaat dan menjadi pilihan untuk pembayaran pada saat melakukan pemesanan ya. Tks^krn",1
"dear @gojekindonesia , nih mas dwi dikasih apresiasi donk",1
Tetap santuy. @gojekindonesia  pic.twitter.com/xzdVILgOPs – di Puncak Langkisau-Painan,1
Ok thankyou penjelasannya:),1
Wow,1
"Hai Isti, untuk pengecekan pesanan layanan GoBox silakan buka menu GoBox terlebih dahulu kemudian pilih tanda jam di sebelah kanan atas. Terima kasih ^yun",1
Oke deh gan,1
"Hai, terima kasih atas feedback yg diberikan dan akan kami teruskan ke tim kami untuk peningkatan layanan GO-JEK, jika ke depannya mengalami kendala yg sama silakan segera informasikan kami detail ordernya melalui DM ya.   ^yun",1
@gojekindonesia tolong kami butuh Go Santet sekarang juga 🤣🤣🤣,1
Ok sudah bisa min setelah di logout dan login lagi,1
"Direktur Angkutan Jalan Ditjen Perhubungan Darat Kemenhub, Ahmad Yani, menegaskan, aturan itu wajib dipatuhi semua aplikator penyedia layanan ojek online. 
@gojekindonesia @gojek24jam
#ojol #ojekonline",1
"Kementerian Perhubungan (Kemenhub) menerapkan tarif baru ojek online (ojol) di seluruh wilayah RI mulai Senin (2/9/2019). Penerapan tersebut ternyata tidak hanya berlaku untuk dua aplikator besar, yakni Grab dan Gojek 
#ojol @gojekindonesia",1
terima kasih admin,1
Sesuai aplikasi ya pak @gojekindonesia,1
mimin gojek please do ur magic 🙏🏼,1
Makasih 💜,1
sejauh ini sy masih setuju dgn arah perkembangan topik yg dibicarakan 🤣,1
"Hai Kevin, dapat kami informasikan untuk history pemesanan tidak dapat dilakukan penghapusan ya. Terima kasih ^yun",1
Admin @gojekindonesia yg ganteng sy pengen tanya untuk mitra pengemudi gojek baru yg blum menerima sms pengambilan atribut bagaimana ya ? Padahal sdh 2 bln ini narik tanpa atribut. Makasih love you,1
bantu tag @gojekindonesia,1
"tambah semangatnya teman driver @grabtaxiid @gojekindonesia semua, semoga berlimpah rejekinya malam ini aamiin 😊😊👍🇮🇩
#JakartaTangerang #HiburanRakyat #Sabtu31Agustus2019 #BismillahAlhamdulillah @ KAMPUS UNIJA…  https://www.instagram.com/p/B10cQCwpgfg/?igshid=qonqujxtepni …",1
"Ah, bagus ini... Trm ksh, Min.
Agak jauh, tapi okelah. Biar tertib dan rapi.
@gojekindonesia dan @GrabID Mnt tlg edukasi driver agar menurunkan sesuai lokasi ya...
Terima kasih 👏 https://twitter.com/mrtjakarta/status/1167670562275115009 …",1
@gojekindonesia help meee 😭,1
Contohnya traktir2 temen yang di-tag.....,1
"Pesan makan di @gojekindonesia 
Pesen minum di @GrabID 
Siipp",1
Tolong bapa banyak2in amalnya syapatau dosa bapa segera diampuni 😋😋,1
"Hai Wendy, silakan mengirimkan email ke driversupport@go-jek.com untuk info lebih lanjut. Tks ^yun",1
"Kereeen sih ini @gojekindonesia
@gojek24jam https://twitter.com/faktaojol/status/1167643240050200577 …",1
"Hai kak, kami dari Findaya partner Gojek yang menangani PayLater. Kami infokan kakak dpt melakukan pembayaran kapanpun sebelum atau saat jatuh tempo. Namun, jika kakak terlambat dlm melakukan pembayaran, PayLater akan dibekukan sementara waktu sampai adanya pelunasan. Tks^krn",1
Amazon @amazon is interested to make #investment to @gojekindonesia #gojek https://twitter.com/businessinsider/status/1167594103187693576 …,1
terima kasih @gojekindonesia meningkatkan perekenomian Balikpapan  pic.twitter.com/7SpZL0BRZx,1
Naik semua naik aja asiiiiikkk😂😂😂😂,1
Please do your magic!!!!,1
"Hai Beti, untuk keluhan Anda sedang ditindaklanjuti oleh tim kami dengan nomor laporan 15457060. Mohon menunggu prosesnya. Terima kasih ^yun",1
"Ga ngerti lagi, gue cinta banget sama @gojekindonesia banyaaaak diskon nyaaaaa",1
Mantap lah gojek,1
"Hai Alvin, kami sangat senang menerima kritik dan saran dari Anda, karena dapat membantu kami dalam menjaga kualitas pelayanan kami. Informasi yang Anda berikan akan kami sampaikan ke team kami sebagai perbaikan untuk ke depannya. Terima kasih^yun",1
"Keren! Kemaren nongkrong bareng sama @richbrian, skarang kopdar bareng sama Mr. Luhut👏",1
"Seru banget, tadi pagi kita konvoi bareng para Menteri naik motor listrik!

#PastiAdaJalan buat nyiptain dampak sosial yg positif di segala bidang, termasuk lingkungan. Semoga penggunaan kendaraan listrik bisa segera dilaksanakan, supaya Indonesia bersih udara dan hemat energi! pic.twitter.com/acLNTCH1D7",1
huhu seneng bgt!!!! makasih @gojekindonesia @Poconggg https://twitter.com/hattamaulana07/status/1167598592585916417 …,1
"tq @gojekindonesia sering sering bikin promo y
-dari aku yang sering mondar-mandir naik gojek  https://twitter.com/JoshuaEAS/status/1167229247301156864 …",1
@gojekindonesia hallo gojek,1
"Punyaa dong mas, saya dm yaa 😉",1
bk whooper+cburger cm 17rb aja tengs @gojekindonesia  pic.twitter.com/Eo5Jm6GQTA,1
Mau nambahin lg tp cape krn terlalu banyak bahagiaku krn gojek bulan ini tuh:( maturnuwun @gojekindonesia @golifeindonesia @gopayindonesia,1
"Nyelesaiin misi dpt go-pay 10.000, lalu 10rbnya ku pake buat go-daily beli aer galon jd cuma ngeluarin kocek sebesar 7.500 subhanallah dah, bersyukur bgt ampun. Trs beli koin webtoon cashback 100% kl bayar pake GO-PAY huhuuu gilaa ga sii @gojekindonesia @golifeindonesia pic.twitter.com/O8FXnWs5OU",1
"Lagi sueeneeeng pol sm @gojekindonesia dan @golifeindonesia. Sebagai anak kos yg suka ngehemat, aku seneng bgt sm gojek  bulan ini. 16x perjalanan cuma 9rb, 23x mesen makan dpt potongan 15rb cuma seharga 45rb, mesen go-auto dpt potongan jd cuma bayar 8rb huaaa bahagia pic.twitter.com/vm2ACRlWFp",1
Sikat lah @gojekindonesia,1
"Kalau ada yang mudah kenapa pilih yang susah?

UMKM Jogja semakin Istimewa bersama @gojekindonesia
#gojek
#gofood
#goumkm
#gofoodinaja
#gojekindonesia
#jogjaistimewa pic.twitter.com/NCrJ2lCcqV",1
"Emang holy grail banget buat anak kos macam akutu, makasih @gojekindonesia  pic.twitter.com/c63f9M02Kj",1
thank you!,1
"Sekarang enak, apa apa bisa beli pakai online.
Lapar setiap saat.
Haus setiap saat.
Ada solusi cepat.

Semua orang bisa jadi pengusaha.
Aplikasi online banyak membantu UMKM dalam mengembangkan usahanya.
Jogja Istimewa bersama @gojekindonesia  pic.twitter.com/uQDBZSZl6C",1
"Sesenang itu belanja di @sociolla_id . Diskon 50k, minimum belanja 200k. Terus bayar pakai  gopay @gojekindonesia cashback 20k. Kan hemat bangettt 🥰🥰  pic.twitter.com/SCKnhnSH9I",1
"Hai Hida, bisa di informasikan nomor tlp, email, email dan alasannya melalui DM? Terima kasih^yni",1
"Nama Shamsubahrin Ismail viral di berbagai media massa Indonesia terkait pernyataannya mengenai @gojekindonesia. Pengusaha Malaysia itu memiliki segudang pengalaman di antaranya bisnis peternakan sapi, halal e-commerce, hingga pernah terlibat kasus hukum.
 https://katadata.co.id/berita/2019/08/29/bos-taksi-malaysia-rival-gojek-berbisnis-ternak-hingga-e-commerce …",1
"saya ikut dukung tarif ojol dinaikan pemerintah...kalo perlu lebih tinggi.
supaya ojek pangkalan bisa bersaing minimal soal tarif.",1
"Kalau lagi bingung mau beramal ke mana, coba manfaatin fitur Go-give-nya @gojekindonesia sungguh sangat membantu.",1
ayo min @GrabID @gojekindonesia,1
"Driver ojol jg siap mengantarkan kebaikan anda customer
@gojekindonesia  pic.twitter.com/6ed6tUVqzi",1
"Ku harap thread ini berguma bagi kalian yang masih sering menanggap sampah plastik itu sepele, ayok kita tetap menjaga lingkungan kita, aku harap @gojekindonesia @GrabID bisa membaca thread ini",1
"Dengan begini @GrabID @gojekindonesia  atau ojol yang laen menjaga lingkungan, kenapa sih harus ojol? menurut saya ojol merupakan salah satu tempat yang paling bagus untuk mengkampanye kan CINTA LINGKUNGAN, dapat menyadarkan para pengguna atau sekitar untuk menjaga lingkungannya",1
"Halo @GrabID @gojekindonesia 
Dan semua ojol yang ada di indonesia, ini thread bukan untuk memberi tips ataupun thread cerita pengalaman horor ojol, thread ini buat OWNER ojol Untuk mengajak kalian promosiin CINTA LINGKUNGAN, ini saran dari saya.....(bukan bermaksud menggurui)",1
Rejeki jabang bayi,1
Terimakasih @gojekindonesia sy bisa makan 2 burger siang ini  pic.twitter.com/Um6LF8pkQF,1
"@gojekindonesia selamat mlm minggu ,bagi link voucher gofood donk,buat traktir gebetan😊",1
Makaciw bell 😊,1
"Beda @gojekindonesia (GoFood) dan @GrabID (GrabFood) di Lampung :

Saat order,
driver GoFood selalu telpon ke no ponsel untuk memastikan pesanan dan bertanya tujuan antar,
sedankan driver GrabFood hanya memastikan pesanan melalui aplikasi Grab dan tidak bertanya tujuan antar",1
"Hai kak Rika, sudah kami informasikan melalui DM ya. Terima kasih^krn",1
"Dan lupa tag gojeknya, thankyou neng!",1
hallo @gojekindonesia apa bisa gofood dari seoul?,1
"Sudah saya dm, terima kasih ya.",1
Silakan DM kami ya. Terima kasih ^yun,1
Marketing yg hebat🤡,1
Gilaa. Auto ngangkot everyday,1
"Jujur kalo mama yang capek-capek bangun pagi masakin, terus nyiapin bekel buat aku sih ya kaleeeee aku lebih pilih gofood? Mau apakek bekelnya, home-made food is always the best. @gojekindonesia",1
"seems like @ovo_id lagi error, top up gak masuk, saldo gak bisa diliat, gak bisa order @GrabID @TokopediaCare

beralih ke @gojekindonesia @bukalapak aja dulu ah, karena hidup itu pilihan",1
wadu nikmatnya gofood promo mulu @gojekindonesia 🥰,1
Asal banyak promonya gpp,1
"Gais,.. Buat kalian semua yg Mager di wiken ini tapi pengen bgt makan @chicagodepok kalian bisa #gofoodinaja aplikasi dari @gojekindonesia
#kulinerdepok #kulinerjakarta #jagonyaayamgoreng pic.twitter.com/pt5ENCcA0E",1
"oke,ikutan daftar jd ojol ah,",1
@gojekindonesia hai bantu aku min,1
"Hai, bisa di informasikan nomor ordernya melalui DM? Terima kasih^yni",1
"Udah dimaki2 semalem, tp minta bintang 5 dulu",1
@gojekindonesia,1
"Go-points belum pernah dipake sejak gabung dari 5 tahun lalu. Sengaja dikumpulin krn belum genah jumlahnya. Tapi, sekarang Go-points sudah hampir punah. Diadakan lagi, dong, @gojekindonesia, Go-points-nya dgn hadiah-hadiah yg menarik, bukan free ride/kaos gojek doang.",1
@gojekindonesia  bantu pak kasian,1
@gojekindonesia bantu min,1
"Terima kasih @gojekindonesia berkat kamu aku yg anak kos bisa makan enak tanpa harus bayar mahal 😘😘 sering"" bagi"" vouchernya ya 🥰🥰🥰  pic.twitter.com/NMNNrUsGLv",1
"Masi banyak driver kurang ajar, ga ngechat apa2, pas di chat ga ngebales. Diapain ya enaknya biar jera driver kek gini? @gojekindonesia",1
ini gimana ya akun gojek ibu saya tbtb gak terdaftar. kemarin log in gak bisa2 tbtb skrg coba log in lagi gak terdaftar. di akun itu ada saldo gopay lumayan banyak. udh telepon ke cs tp cs malah nyolot gak bantu sama sekali @gojekindonesia,1
Langsung cashback mon???,1
"Kayaknya engga juga Wan. Pernah order di ciwalk ngga? Tau kan ya banyak banget driver yg udah kelar nganter mayan banyak juga yg nunggu orderan. Tp tiap order disitu, aku ga pernah dapet yg deket2 situ :))

Setuju banget, grab lebih oke dalam hal ini.",1
@gojekindonesia saya menjalankan misi sesuai disuruh kenapa belum dapat jugakya vocher gojeknya. Kesel saya,1
Kayaknya memang banyak ya dek. Bikin kesalahpahaman antara customer sama driver. Padahal ga ada niat menyusahkan.,1
"@gojekindonesia haloo min, akun gojek saya ke banned sementara nih, jd gk bisa order go food nih, solusinya gimana min? Udah dari kemaren mention tp belum di respon :( makasih sebelumnya mimin",1
"Gofigure by @gojekindonesia & Sharing Handry by @HandryGE , they're inspiring, share the real story & history (lesson learned).",1
"@gojekindonesia maap mau tanya, sy kan driver bru daerah  http://tangerang.Sy  blm dapat atribut, klo mo ambil bisa di alsut atau hrus ke senayan. Trims.",1
"balik kos 

❌ sangu dr bapak 
💯 sangu dr @GrabID @gojekindonesia  pic.twitter.com/eeAYDPwXES",1
"@gojekindonesia  Ini akun saya KOK gak bisa d gunakan knpa Ya,  sya habis Ganti HP Dan mau mindah akun gojek sya,  eh  malah gini  pic.twitter.com/fhm6MYHjXI",1
@gojekindonesia apakah di cirebon tidak bisa order Go Massage?,1
"👨bapa ojol 👧 aku

*Pas dateng
👨*Senyum ramah*
👧yaampun bapak maaf banget ya pak, tadi gak teliti ngecek pin dulu pas mau pesen
👨iya nduk gapapa
👧yaampun pak maaf loh pak
👨iyaa wes ndhuk, gapapa gapapa

Thx @gojek24jam @gojekindonesia  pic.twitter.com/VEOO29lx6E",1
"@gojekindonesia ini go ride nya brp x y

udh 2 x go ride blum kecapai juga  pic.twitter.com/bpSwnRM5Sg",1
"Maaf, gan
Setelah ditelusuri ternyata blm ketemu jg
&
@gojekindonesia 😠😠😠😠😠
SUDAH DIAKTIFKAN KEMBALI ATAU BELUM AKUN DRIVER TERSEBUT ??!!!
JANGAN MENJADI BANGSAT TERHADAP ANAK BANGSA #Indonesia
APAKAH KETERLAMBATAN ADALAH SAMA DENGAN TIDAK SAMPAI ?!!!
TOLOL JANGAN DIPELIHARA https://twitter.com/andi_albarn/status/1167614143785910272 …",1
"Maaf, gan
Setelah ditelusuri ternyata blm ketemu jg
&
@gojekindonesia 😠😠😠😠😠
SUDAH DIAKTIFKAN KEMBALI ATAU BELUM AKUN DRIVER TERSEBUT ??!!!
JANGAN MENJADI BANGSAT TERHADAP ANAK BANGSA #Indonesia
APAKAH KETERLAMBATAN ADALAH SAMA DENGAN TIDAK SAMPAI ?!!!
TOLOL JANGAN DIPELIHARA",1
"Hai Sani, bisa di informasikan nomor tlp dan email Anda melalui DM? Terima kasih^yni",1
"Pagi @gojekindonesia saya ingin lihat historical transaction pada tanggal 25 Agustus.
Belum sempet terscreenshoot & di aplikasi sudah hilang. Saya cek email, struk transaksinya kol tidak diemail ya?
Mohon dibantu thanks",1
@gojekindonesia mohon ini konsumen di bekukan akun'y....pagi2 sudah maen cancel dan mengakibatkan performa turun....ini opik bangsat....  pic.twitter.com/qAHKD3xVfS,1
@gojekindonesia sampai seperti inilah kami mencari uang halal tp kadang penumpang seenaknya aja kasih bintang dan kommen yg ujung2nya kami bisa suspend kami mitra. Pak @jokowi kami butuh pekerjaan layak pic.twitter.com/ZYItF7kuya,1
Please do your magic.. @gojekindonesia @uusbiasaaja @falla_adinda @kumparan @antaranews @detikcom @CNNIndonesia @okezonenews @radenrauf @aulmaulidiana @ https://twitter.com/yuniarayutyas/status/1167387194496962560 …,1
"Gu 
Kartu 3
Main twitter
Hp android
Pergi-pergi naik @gojekindonesia or @GrabID",1
Sudah ku DM yah. Buru ya ka sy laper mau gofood 😂,1
"@gojekindonesia halo min, saya td pagi jam 7 baru tuntaskan misi gofood tapi kenapa rewardnya gak dapet ya?",1
Logo baru insentif buat mitra driver kok juga ikut baru . kok selalu di pangkas ? . Apakah gojek rugi ? Kalah saing ?,1
@gojekindonesia min.. sy mau bayar paylater. Tp ko halaman pay laternya ga ada ya 😳,1
"Go-jek donggg.
1. Buatan Indonesia tentunya.
2. Banyak promo & diskon.
3. Nga tau, nyaman aja pakai go-jek.

@gojekindonesia 😂",1
